index,set,voiced,voiceless,step,underscore,extension,path
1,BAA_PAA_5,B,P,23,_,.mp3,BAA_PAA_5_23.mp3
2,BAH_PAH_3,B,P,20,_,.mp3,BAH_PAH_3_20.mp3
3,BIH_PIH_1,B,P,21,_,.mp3,BIH_PIH_1_21.mp3
4,BUH_PUH_3,B,P,17,_,.mp3,BUH_PUH_3_17.mp3
5,DAA_TAA_3,D,T,21,_,.mp3,DAA_TAA_3_21.mp3
6,DAH_TAH_3,D,T,24,_,.mp3,DAH_TAH_3_24.mp3
7,DIH_TIH_3,D,T,20,_,.mp3,DIH_TIH_3_20.mp3
8,DUH_TUH_3,D,T,23,_,.mp3,DUH_TUH_3_23.mp3
9,GAA_KAA_5,G,K,24,_,.mp3,GAA_KAA_5_24.mp3
10,GAH_KAH_3,G,K,18,_,.mp3,GAH_KAH_3_18.mp3
11,GIH_KIH_5,G,K,22,_,.mp3,GIH_KIH_5_22.mp3
12,GUH_KUH_3,G,K,18,_,.mp3,GUH_KUH_3_18.mp3
13,BAA_PAA_5,B,P,17,_,.mp3,BAA_PAA_5_17.mp3
14,BAH_PAH_3,B,P,14,_,.mp3,BAH_PAH_3_14.mp3
15,BIH_PIH_1,B,P,15,_,.mp3,BIH_PIH_1_15.mp3
16,BUH_PUH_3,B,P,11,_,.mp3,BUH_PUH_3_11.mp3
17,DAA_TAA_3,D,T,15,_,.mp3,DAA_TAA_3_15.mp3
18,DAH_TAH_3,D,T,18,_,.mp3,DAH_TAH_3_18.mp3
19,DIH_TIH_3,D,T,14,_,.mp3,DIH_TIH_3_14.mp3
20,DUH_TUH_3,D,T,17,_,.mp3,DUH_TUH_3_17.mp3
21,GAA_KAA_5,G,K,18,_,.mp3,GAA_KAA_5_18.mp3
22,GAH_KAH_3,G,K,12,_,.mp3,GAH_KAH_3_12.mp3
23,GIH_KIH_5,G,K,16,_,.mp3,GIH_KIH_5_16.mp3
24,GUH_KUH_3,G,K,12,_,.mp3,GUH_KUH_3_12.mp3
25,BAA_PAA_5,B,P,19,_,.mp3,BAA_PAA_5_19.mp3
26,BAH_PAH_3,B,P,16,_,.mp3,BAH_PAH_3_16.mp3
27,BIH_PIH_1,B,P,17,_,.mp3,BIH_PIH_1_17.mp3
28,BUH_PUH_3,B,P,13,_,.mp3,BUH_PUH_3_13.mp3
29,DAA_TAA_3,D,T,17,_,.mp3,DAA_TAA_3_17.mp3
30,DAH_TAH_3,D,T,20,_,.mp3,DAH_TAH_3_20.mp3
31,DIH_TIH_3,D,T,16,_,.mp3,DIH_TIH_3_16.mp3
32,DUH_TUH_3,D,T,19,_,.mp3,DUH_TUH_3_19.mp3
33,GAA_KAA_5,G,K,20,_,.mp3,GAA_KAA_5_20.mp3
34,GAH_KAH_3,G,K,14,_,.mp3,GAH_KAH_3_14.mp3
35,GIH_KIH_5,G,K,18,_,.mp3,GIH_KIH_5_18.mp3
36,GUH_KUH_3,G,K,14,_,.mp3,GUH_KUH_3_14.mp3
37,BAA_PAA_5,B,P,21,_,.mp3,BAA_PAA_5_21.mp3
38,BAH_PAH_3,B,P,18,_,.mp3,BAH_PAH_3_18.mp3
39,BIH_PIH_1,B,P,19,_,.mp3,BIH_PIH_1_19.mp3
40,BUH_PUH_3,B,P,15,_,.mp3,BUH_PUH_3_15.mp3
41,DAA_TAA_3,D,T,19,_,.mp3,DAA_TAA_3_19.mp3
42,DAH_TAH_3,D,T,22,_,.mp3,DAH_TAH_3_22.mp3
