index,set,voiced,voiceless,step,underscore,extension,path
1,AAB_AAP_5,B,P,13,_,.mp3,AAB_AAP_5_13.mp3
2,AAD_AAT_5,D,T,18,_,.mp3,AAD_AAT_5_18.mp3
3,AAG_AAK_3,G,K,12,_,.mp3,AAG_AAK_3_12.mp3
4,AHB_AHP_1,B,P,13,_,.mp3,AHB_AHP_1_13.mp3
5,AHD_AHT_1,D,T,17,_,.mp3,AHD_AHT_1_17.mp3
6,AHG_AHK_3,G,K,15,_,.mp3,AHG_AHK_3_15.mp3
7,IHB_IHP_5,B,P,16,_,.mp3,IHB_IHP_5_16.mp3
8,IHD_IHT_1,D,T,18,_,.mp3,IHD_IHT_1_18.mp3
9,IHG_IHK_3,G,K,19,_,.mp3,IHG_IHK_3_19.mp3
10,UHB_UHP_5,B,P,13,_,.mp3,UHB_UHP_5_13.mp3
11,UHD_UHT_1,D,T,16,_,.mp3,UHD_UHT_1_16.mp3
12,UHG_UHK_3,G,K,17,_,.mp3,UHG_UHK_3_17.mp3
13,AAB_AAP_5,B,P,7,_,.mp3,AAB_AAP_5_7.mp3
14,AAD_AAT_5,D,T,12,_,.mp3,AAD_AAT_5_12.mp3
15,AAG_AAK_3,G,K,6,_,.mp3,AAG_AAK_3_6.mp3
16,AHB_AHP_1,B,P,7,_,.mp3,AHB_AHP_1_7.mp3
17,AHD_AHT_1,D,T,11,_,.mp3,AHD_AHT_1_11.mp3
18,AHG_AHK_3,G,K,9,_,.mp3,AHG_AHK_3_9.mp3
19,IHB_IHP_5,B,P,10,_,.mp3,IHB_IHP_5_10.mp3
20,IHD_IHT_1,D,T,12,_,.mp3,IHD_IHT_1_12.mp3
21,IHG_IHK_3,G,K,13,_,.mp3,IHG_IHK_3_13.mp3
22,UHB_UHP_5,B,P,7,_,.mp3,UHB_UHP_5_7.mp3
23,UHD_UHT_1,D,T,10,_,.mp3,UHD_UHT_1_10.mp3
24,UHG_UHK_3,G,K,11,_,.mp3,UHG_UHK_3_11.mp3
25,AAB_AAP_5,B,P,9,_,.mp3,AAB_AAP_5_9.mp3
26,AAD_AAT_5,D,T,14,_,.mp3,AAD_AAT_5_14.mp3
27,AAG_AAK_3,G,K,8,_,.mp3,AAG_AAK_3_8.mp3
28,AHB_AHP_1,B,P,9,_,.mp3,AHB_AHP_1_9.mp3
29,AHD_AHT_1,D,T,13,_,.mp3,AHD_AHT_1_13.mp3
30,AHG_AHK_3,G,K,11,_,.mp3,AHG_AHK_3_11.mp3
31,IHB_IHP_5,B,P,12,_,.mp3,IHB_IHP_5_12.mp3
32,IHD_IHT_1,D,T,14,_,.mp3,IHD_IHT_1_14.mp3
33,IHG_IHK_3,G,K,15,_,.mp3,IHG_IHK_3_15.mp3
34,UHB_UHP_5,B,P,9,_,.mp3,UHB_UHP_5_9.mp3
35,UHD_UHT_1,D,T,12,_,.mp3,UHD_UHT_1_12.mp3
36,UHG_UHK_3,G,K,13,_,.mp3,UHG_UHK_3_13.mp3
37,AAB_AAP_5,B,P,11,_,.mp3,AAB_AAP_5_11.mp3
38,AAD_AAT_5,D,T,16,_,.mp3,AAD_AAT_5_16.mp3
39,AAG_AAK_3,G,K,10,_,.mp3,AAG_AAK_3_10.mp3
40,AHB_AHP_1,B,P,11,_,.mp3,AHB_AHP_1_11.mp3
41,AHD_AHT_1,D,T,15,_,.mp3,AHD_AHT_1_15.mp3
42,AHG_AHK_3,G,K,13,_,.mp3,AHG_AHK_3_13.mp3
43,IHB_IHP_5,B,P,14,_,.mp3,IHB_IHP_5_14.mp3
44,IHD_IHT_1,D,T,16,_,.mp3,IHD_IHT_1_16.mp3
45,IHG_IHK_3,G,K,17,_,.mp3,IHG_IHK_3_17.mp3
46,UHB_UHP_5,B,P,11,_,.mp3,UHB_UHP_5_11.mp3
47,UHD_UHT_1,D,T,14,_,.mp3,UHD_UHT_1_14.mp3
48,UHG_UHK_3,G,K,15,_,.mp3,UHG_UHK_3_15.mp3
49,AAB_AAP_5,B,P,15,_,.mp3,AAB_AAP_5_15.mp3
50,AAD_AAT_5,D,T,20,_,.mp3,AAD_AAT_5_20.mp3
51,AAG_AAK_3,G,K,14,_,.mp3,AAG_AAK_3_14.mp3
52,AHB_AHP_1,B,P,15,_,.mp3,AHB_AHP_1_15.mp3
53,AHD_AHT_1,D,T,19,_,.mp3,AHD_AHT_1_19.mp3
54,AHG_AHK_3,G,K,17,_,.mp3,AHG_AHK_3_17.mp3
55,IHB_IHP_5,B,P,18,_,.mp3,IHB_IHP_5_18.mp3
56,IHD_IHT_1,D,T,20,_,.mp3,IHD_IHT_1_20.mp3
57,IHG_IHK_3,G,K,21,_,.mp3,IHG_IHK_3_21.mp3
58,UHB_UHP_5,B,P,15,_,.mp3,UHB_UHP_5_15.mp3
59,UHD_UHT_1,D,T,18,_,.mp3,UHD_UHT_1_18.mp3
60,UHG_UHK_3,G,K,19,_,.mp3,UHG_UHK_3_19.mp3
61,AAB_AAP_5,B,P,17,_,.mp3,AAB_AAP_5_17.mp3
62,AAD_AAT_5,D,T,22,_,.mp3,AAD_AAT_5_22.mp3
63,AAG_AAK_3,G,K,16,_,.mp3,AAG_AAK_3_16.mp3
64,AHB_AHP_1,B,P,17,_,.mp3,AHB_AHP_1_17.mp3
65,AHD_AHT_1,D,T,21,_,.mp3,AHD_AHT_1_21.mp3
66,AHG_AHK_3,G,K,19,_,.mp3,AHG_AHK_3_19.mp3
67,IHB_IHP_5,B,P,20,_,.mp3,IHB_IHP_5_20.mp3
68,IHD_IHT_1,D,T,22,_,.mp3,IHD_IHT_1_22.mp3
69,IHG_IHK_3,G,K,23,_,.mp3,IHG_IHK_3_23.mp3
70,UHB_UHP_5,B,P,17,_,.mp3,UHB_UHP_5_17.mp3
71,UHD_UHT_1,D,T,20,_,.mp3,UHD_UHT_1_20.mp3
72,UHG_UHK_3,G,K,21,_,.mp3,UHG_UHK_3_21.mp3
73,AAB_AAP_5,B,P,19,_,.mp3,AAB_AAP_5_19.mp3
74,AAD_AAT_5,D,T,24,_,.mp3,AAD_AAT_5_24.mp3
75,AAG_AAK_3,G,K,18,_,.mp3,AAG_AAK_3_18.mp3
76,AHB_AHP_1,B,P,19,_,.mp3,AHB_AHP_1_19.mp3
77,AHD_AHT_1,D,T,23,_,.mp3,AHD_AHT_1_23.mp3
78,AHG_AHK_3,G,K,21,_,.mp3,AHG_AHK_3_21.mp3
79,IHB_IHP_5,B,P,22,_,.mp3,IHB_IHP_5_22.mp3
80,IHD_IHT_1,D,T,24,_,.mp3,IHD_IHT_1_24.mp3
81,IHG_IHK_3,G,K,25,_,.mp3,IHG_IHK_3_25.mp3
82,UHB_UHP_5,B,P,19,_,.mp3,UHB_UHP_5_19.mp3
83,UHD_UHT_1,D,T,22,_,.mp3,UHD_UHT_1_22.mp3
84,UHG_UHK_3,G,K,23,_,.mp3,UHG_UHK_3_23.mp3
