index,set,voiced,voiceless,step,underscore,extension,path
1,balinomy_palinomy_1,B,P,23,_,.mp3,balinomy_palinomy_1_23.mp3
2,baln_paln_3,B,P,20,_,.mp3,baln_paln_3_20.mp3
3,bamurre_pamurre_3,B,P,22,_,.mp3,bamurre_pamurre_3_22.mp3
4,bangle_pangle_3,B,P,24,_,.mp3,bangle_pangle_3_24.mp3
5,barema_parema_3,B,P,17,_,.mp3,barema_parema_3_17.mp3
6,barl_parl_3,B,P,19,_,.mp3,barl_parl_3_19.mp3
7,belammer_pelammer_3,B,P,16,_,.mp3,belammer_pelammer_3_16.mp3
8,bellon_pellon_1,B,P,19,_,.mp3,bellon_pellon_1_19.mp3
9,bemmela_pemmela_3,B,P,23,_,.mp3,bemmela_pemmela_3_23.mp3
10,bemmerle_pemmerle_3,B,P,22,_,.mp3,bemmerle_pemmerle_3_22.mp3
11,benlow_penlow_1,B,P,18,_,.mp3,benlow_penlow_1_18.mp3
12,bennim_pennim_3,B,P,21,_,.mp3,bennim_pennim_3_21.mp3
13,bim_pim_3,B,P,16,_,.mp3,bim_pim_3_16.mp3
14,bimmel_pimmel_1,B,P,24,_,.mp3,bimmel_pimmel_1_24.mp3
15,binneran_pinneran_1,B,P,16,_,.mp3,binneran_pinneran_1_16.mp3
16,borl_porl_3,B,P,15,_,.mp3,borl_porl_3_15.mp3
17,boyer_poyer_3,B,P,15,_,.mp3,boyer_poyer_3_15.mp3
18,brynon_prynon_1,B,P,22,_,.mp3,brynon_prynon_1_22.mp3
19,bunnel_punnel_3,B,P,23,_,.mp3,bunnel_punnel_3_23.mp3
20,Bewry_Pewry_1,B,P,18,_,.mp3,Bewry_Pewry_1_18.mp3
21,balinomy_palinomy_1,B,P,19,_,.mp3,balinomy_palinomy_1_19.mp3
22,baln_paln_3,B,P,16,_,.mp3,baln_paln_3_16.mp3
23,bamurre_pamurre_3,B,P,18,_,.mp3,bamurre_pamurre_3_18.mp3
24,bangle_pangle_3,B,P,20,_,.mp3,bangle_pangle_3_20.mp3
25,barema_parema_3,B,P,13,_,.mp3,barema_parema_3_13.mp3
26,barl_parl_3,B,P,15,_,.mp3,barl_parl_3_15.mp3
27,belammer_pelammer_3,B,P,12,_,.mp3,belammer_pelammer_3_12.mp3
28,bellon_pellon_1,B,P,15,_,.mp3,bellon_pellon_1_15.mp3
29,bemmela_pemmela_3,B,P,19,_,.mp3,bemmela_pemmela_3_19.mp3
30,bemmerle_pemmerle_3,B,P,18,_,.mp3,bemmerle_pemmerle_3_18.mp3
31,benlow_penlow_1,B,P,14,_,.mp3,benlow_penlow_1_14.mp3
32,bennim_pennim_3,B,P,17,_,.mp3,bennim_pennim_3_17.mp3
33,bim_pim_3,B,P,12,_,.mp3,bim_pim_3_12.mp3
34,bimmel_pimmel_1,B,P,20,_,.mp3,bimmel_pimmel_1_20.mp3
35,binneran_pinneran_1,B,P,12,_,.mp3,binneran_pinneran_1_12.mp3
36,borl_porl_3,B,P,11,_,.mp3,borl_porl_3_11.mp3
37,boyer_poyer_3,B,P,11,_,.mp3,boyer_poyer_3_11.mp3
38,brynon_prynon_1,B,P,18,_,.mp3,brynon_prynon_1_18.mp3
39,bunnel_punnel_3,B,P,19,_,.mp3,bunnel_punnel_3_19.mp3
40,Bewry_Pewry_1,B,P,14,_,.mp3,Bewry_Pewry_1_14.mp3
41,balinomy_palinomy_1,B,P,21,_,.mp3,balinomy_palinomy_1_21.mp3
42,baln_paln_3,B,P,18,_,.mp3,baln_paln_3_18.mp3
43,bamurre_pamurre_3,B,P,20,_,.mp3,bamurre_pamurre_3_20.mp3
44,bangle_pangle_3,B,P,22,_,.mp3,bangle_pangle_3_22.mp3
45,barema_parema_3,B,P,15,_,.mp3,barema_parema_3_15.mp3
46,barl_parl_3,B,P,17,_,.mp3,barl_parl_3_17.mp3
47,belammer_pelammer_3,B,P,14,_,.mp3,belammer_pelammer_3_14.mp3
48,bellon_pellon_1,B,P,17,_,.mp3,bellon_pellon_1_17.mp3
49,bemmela_pemmela_3,B,P,21,_,.mp3,bemmela_pemmela_3_21.mp3
50,bemmerle_pemmerle_3,B,P,20,_,.mp3,bemmerle_pemmerle_3_20.mp3
51,benlow_penlow_1,B,P,16,_,.mp3,benlow_penlow_1_16.mp3
52,bennim_pennim_3,B,P,19,_,.mp3,bennim_pennim_3_19.mp3
53,bim_pim_3,B,P,14,_,.mp3,bim_pim_3_14.mp3
54,bimmel_pimmel_1,B,P,22,_,.mp3,bimmel_pimmel_1_22.mp3
55,binneran_pinneran_1,B,P,14,_,.mp3,binneran_pinneran_1_14.mp3
56,borl_porl_3,B,P,13,_,.mp3,borl_porl_3_13.mp3
57,boyer_poyer_3,B,P,13,_,.mp3,boyer_poyer_3_13.mp3
58,brynon_prynon_1,B,P,20,_,.mp3,brynon_prynon_1_20.mp3
59,bunnel_punnel_3,B,P,21,_,.mp3,bunnel_punnel_3_21.mp3
60,Bewry_Pewry_1,B,P,16,_,.mp3,Bewry_Pewry_1_16.mp3
61,balinomy_palinomy_1,B,P,25,_,.mp3,balinomy_palinomy_1_25.mp3
62,baln_paln_3,B,P,22,_,.mp3,baln_paln_3_22.mp3
63,bamurre_pamurre_3,B,P,24,_,.mp3,bamurre_pamurre_3_24.mp3
64,bangle_pangle_3,B,P,26,_,.mp3,bangle_pangle_3_26.mp3
65,barema_parema_3,B,P,19,_,.mp3,barema_parema_3_19.mp3
66,barl_parl_3,B,P,21,_,.mp3,barl_parl_3_21.mp3
67,belammer_pelammer_3,B,P,18,_,.mp3,belammer_pelammer_3_18.mp3
68,bellon_pellon_1,B,P,21,_,.mp3,bellon_pellon_1_21.mp3
69,bemmela_pemmela_3,B,P,25,_,.mp3,bemmela_pemmela_3_25.mp3
70,bemmerle_pemmerle_3,B,P,24,_,.mp3,bemmerle_pemmerle_3_24.mp3
71,benlow_penlow_1,B,P,20,_,.mp3,benlow_penlow_1_20.mp3
72,bennim_pennim_3,B,P,23,_,.mp3,bennim_pennim_3_23.mp3
73,bim_pim_3,B,P,18,_,.mp3,bim_pim_3_18.mp3
74,bimmel_pimmel_1,B,P,26,_,.mp3,bimmel_pimmel_1_26.mp3
75,binneran_pinneran_1,B,P,18,_,.mp3,binneran_pinneran_1_18.mp3
76,borl_porl_3,B,P,17,_,.mp3,borl_porl_3_17.mp3
77,boyer_poyer_3,B,P,17,_,.mp3,boyer_poyer_3_17.mp3
78,brynon_prynon_1,B,P,24,_,.mp3,brynon_prynon_1_24.mp3
79,bunnel_punnel_3,B,P,25,_,.mp3,bunnel_punnel_3_25.mp3
80,Bewry_Pewry_1,B,P,20,_,.mp3,Bewry_Pewry_1_20.mp3
81,balinomy_palinomy_1,B,P,27,_,.mp3,balinomy_palinomy_1_27.mp3
82,baln_paln_3,B,P,24,_,.mp3,baln_paln_3_24.mp3
83,bamurre_pamurre_3,B,P,26,_,.mp3,bamurre_pamurre_3_26.mp3
84,bangle_pangle_3,B,P,28,_,.mp3,bangle_pangle_3_28.mp3
85,barema_parema_3,B,P,21,_,.mp3,barema_parema_3_21.mp3
86,barl_parl_3,B,P,23,_,.mp3,barl_parl_3_23.mp3
87,belammer_pelammer_3,B,P,20,_,.mp3,belammer_pelammer_3_20.mp3
88,bellon_pellon_1,B,P,23,_,.mp3,bellon_pellon_1_23.mp3
89,bemmela_pemmela_3,B,P,27,_,.mp3,bemmela_pemmela_3_27.mp3
90,bemmerle_pemmerle_3,B,P,26,_,.mp3,bemmerle_pemmerle_3_26.mp3
91,benlow_penlow_1,B,P,22,_,.mp3,benlow_penlow_1_22.mp3
92,bennim_pennim_3,B,P,25,_,.mp3,bennim_pennim_3_25.mp3
93,bim_pim_3,B,P,20,_,.mp3,bim_pim_3_20.mp3
94,bimmel_pimmel_1,B,P,28,_,.mp3,bimmel_pimmel_1_28.mp3
95,binneran_pinneran_1,B,P,20,_,.mp3,binneran_pinneran_1_20.mp3
96,borl_porl_3,B,P,19,_,.mp3,borl_porl_3_19.mp3
97,boyer_poyer_3,B,P,19,_,.mp3,boyer_poyer_3_19.mp3
98,brynon_prynon_1,B,P,26,_,.mp3,brynon_prynon_1_26.mp3
99,bunnel_punnel_3,B,P,27,_,.mp3,bunnel_punnel_3_27.mp3
100,Bewry_Pewry_1,B,P,22,_,.mp3,Bewry_Pewry_1_22.mp3
