index,set,voiced,voiceless,step,underscore,extension,path
1,Balloon_Palloon_3,B,P,12,_,.mp3,Balloon_Palloon_3_12.mp3
2,Banana_Panana_3,B,P,13,_,.mp3,Banana_Panana_3_13.mp3
3,Barn_Parn_1,B,P,12,_,.mp3,Barn_Parn_1_12.mp3
4,Bawn_Pawn_3,B,P,21,_,.mp3,Bawn_Pawn_3_21.mp3
5,Beninsula_Peninsula_3,B,P,24,_,.mp3,Beninsula_Peninsula_3_24.mp3
6,Berform_Perform_3,B,P,19,_,.mp3,Berform_Perform_3_19.mp3
7,Billion_Pillion_3,B,P,18,_,.mp3,Billion_Pillion_3_18.mp3
8,Billionaire_Pillionaire_3,B,P,12,_,.mp3,Billionaire_Pillionaire_3_12.mp3
9,Boom_Poom_1,B,P,16,_,.mp3,Boom_Poom_1_16.mp3
10,Brime_Prime_1,B,P,16,_,.mp3,Brime_Prime_1_16.mp3
11,Brown_Prown_3,B,P,11,_,.mp3,Brown_Prown_3_11.mp3
12,Ballerina_Pallerina_1,B,P,16,_,.mp3,Ballerina_Pallerina_1_16.mp3
13,Baloney_Paloney_1,B,P,11,_,.mp3,Baloney_Paloney_1_11.mp3
14,Barallel_Parallel_3,B,P,18,_,.mp3,Barallel_Parallel_3_18.mp3
15,Barely_Parely_1,B,P,11,_,.mp3,Barely_Parely_1_11.mp3
16,Barlor_Parlor_3,B,P,22,_,.mp3,Barlor_Parlor_3_22.mp3
17,Barren_Parren_3,B,P,13,_,.mp3,Barren_Parren_3_13.mp3
18,Belly_Pelly_3,B,P,20,_,.mp3,Belly_Pelly_3_20.mp3
19,Benign_Penign_3,B,P,11,_,.mp3,Benign_Penign_3_11.mp3
20,Biannual_Piannual_3,B,P,8,_,.mp3,Biannual_Piannual_3_8.mp3
21,Bioneer_Pioneer_3,B,P,21,_,.mp3,Bioneer_Pioneer_3_21.mp3
22,Blanner_Planner_3,B,P,23,_,.mp3,Blanner_Planner_3_23.mp3
23,Blea_Plea_3,B,P,19,_,.mp3,Blea_Plea_3_19.mp3
24,Blue_Plue_3,B,P,17,_,.mp3,Blue_Plue_3_17.mp3
25,Blyer_Plyer_1,B,P,18,_,.mp3,Blyer_Plyer_1_18.mp3
26,Boil_Poil_1,B,P,15,_,.mp3,Boil_Poil_1_15.mp3
27,Bollen_Pollen_3,B,P,24,_,.mp3,Bollen_Pollen_3_24.mp3
28,Bolymer_Polymer_3,B,P,22,_,.mp3,Bolymer_Polymer_3_22.mp3
29,Brain_Prain_3,B,P,15,_,.mp3,Brain_Prain_3_15.mp3
30,Brayer_Prayer_1,B,P,20,_,.mp3,Brayer_Prayer_1_20.mp3
31,Breliminary_Preliminary_1,B,P,24,_,.mp3,Breliminary_Preliminary_1_24.mp3
32,Bremier_Premier_3,B,P,19,_,.mp3,Bremier_Premier_3_19.mp3
33,Brewery_Prewery_1,B,P,15,_,.mp3,Brewery_Prewery_1_15.mp3
