index,set,voiced,voiceless,step,underscore,extension,path
1,ab_app_1,ab,app,20,_,.mp3,ab_app_1_20.mp3
2,abe_ape_1,abe,ape,24,_,.mp3,abe_ape_1_24.mp3
3,chug_chuck_3,chug,chuck,24,_,.mp3,chug_chuck_3_24.mp3
4,fade_fate_3,fade,fate,20,_,.mp3,fade_fate_3_20.mp3
5,feed_feet_1,feed,feet,22,_,.mp3,feed_feet_1_22.mp3
6,flab_flap_1,flab,flap,24,_,.mp3,flab_flap_1_24.mp3
7,flag_flack_1,flag,flack,24,_,.mp3,flag_flack_1_24.mp3
8,ford_fort_1,ford,fort,24,_,.mp3,ford_fort_1_24.mp3
9,hard_heart_1,hard,heart,24,_,.mp3,hard_heart_1_24.mp3
10,hide_height_3,hide,height,22,_,.mp3,hide_height_3_22.mp3
11,hug_huck_1,hug,huck,21,_,.mp3,hug_huck_1_21.mp3
12,lab_lap_3,lab,lap,23,_,.mp3,lab_lap_3_23.mp3
13,lag_lack_1,lag,lack,15,_,.mp3,lag_lack_1_15.mp3
14,league_leak_1,league,leak,18,_,.mp3,league_leak_1_18.mp3
15,lob_lop_3,lob,lop,20,_,.mp3,lob_lop_3_20.mp3
16,lube_loop_3,lube,loop,20,_,.mp3,lube_loop_3_20.mp3
17,lug_luck_1,lug,luck,21,_,.mp3,lug_luck_1_21.mp3
18,mob_mop_3,mob,mop,23,_,.mp3,mob_mop_3_23.mp3
19,mound_mount_1,mound,mount,22,_,.mp3,mound_mount_1_22.mp3
20,mug_muck_3,mug,muck,24,_,.mp3,mug_muck_3_24.mp3
21,nag_knack_3,nag,knack,24,_,.mp3,nag_knack_3_24.mp3
22,nab_nap_1,nab,nap,16,_,.mp3,nab_nap_1_16.mp3
23,rag_rack_3,rag,rack,22,_,.mp3,rag_rack_3_22.mp3
24,rib_rip_3,rib,rip,23,_,.mp3,rib_rip_3_23.mp3
25,ride_write_3,ride,write,23,_,.mp3,ride_write_3_23.mp3
26,rig_rick_3,rig,rick,21,_,.mp3,rig_rick_3_21.mp3
27,robe_rope_3,robe,rope,23,_,.mp3,robe_rope_3_23.mp3
28,sag_sack_1,sag,sack,22,_,.mp3,sag_sack_1_22.mp3
29,seed_seat_3,seed,seat,22,_,.mp3,seed_seat_3_22.mp3
30,send_sent_3,send,sent,21,_,.mp3,send_sent_3_21.mp3
