index,set,voiced,voiceless,type,step,underscore,extension,path,,,,,,,,,
1,dame_tame_1,Dame,Tame,MP,8,_,.mp3,dame_tame_1_8.mp3,,,,,,,,,
2,dare_tear_1,Dare,Tear,MP,11,_,.mp3,dare_tear_1_11.mp3,,,,,,,,,
3,deal_teal_3,Deal,Teal,MP,18,_,.mp3,deal_teal_3_18.mp3,,,,,,,,,
4,doom_toom_3,Doom,Tomb,MP,7,_,.mp3,doom_toom_3_7.mp3,,,,,,,,,
5,dough_toe_3,Dough,Toe,MP,9,_,.mp3,dough_toe_3_9.mp3,,,,,,,,,
6,drain_train_1,Drain,Train,MP,7,_,.mp3,drain_train_1_7.mp3,,,,,,,,,
7,dry_try_3,Dry,Try,MP,13,_,.mp3,dry_try_3_13.mp3,,,,,,,,,
8,gale_kale_1,Gale,Kale,MP,8,_,.mp3,gale_kale_1_8.mp3,,,,,,,,,
9,grill_krill_1,Grill,Krill,MP,20,_,.mp3,grill_krill_1_20.mp3,,,,,,,,,
10,grime_crime_3,Grime,Crime,MP,7,_,.mp3,grime_crime_3_7.mp3,,,,,,,,,
11,dame_tame_1,Dame,Tame,MP,2,_,.mp3,dame_tame_1_2.mp3,,,,,,,,,
12,dare_tear_1,Dare,Tear,MP,5,_,.mp3,dare_tear_1_5.mp3,,,,,,,,,
13,deal_teal_3,Deal,Teal,MP,12,_,.mp3,deal_teal_3_12.mp3,,,,,,,,,
14,doom_toom_3,Doom,Tomb,MP,1,_,.mp3,doom_toom_3_1.mp3,,,,,,,,,
15,dough_toe_3,Dough,Toe,MP,3,_,.mp3,dough_toe_3_3.mp3,,,,,,,,,
16,drain_train_1,Drain,Train,MP,1,_,.mp3,drain_train_1_1.mp3,,,,,,,,,
17,dry_try_3,Dry,Try,MP,7,_,.mp3,dry_try_3_7.mp3,,,,,,,,,
18,gale_kale_1,Gale,Kale,MP,2,_,.mp3,gale_kale_1_2.mp3,,,,,,,,,
19,grill_krill_1,Grill,Krill,MP,14,_,.mp3,grill_krill_1_14.mp3,,,,,,,,,
20,grime_crime_3,Grime,Crime,MP,1,_,.mp3,grime_crime_3_1.mp3,,,,,,,,,
21,dame_tame_1,Dame,Tame,MP,4,_,.mp3,dame_tame_1_4.mp3,,,,,,,,,
22,dare_tear_1,Dare,Tear,MP,7,_,.mp3,dare_tear_1_7.mp3,,,,,,,,,
23,deal_teal_3,Deal,Teal,MP,14,_,.mp3,deal_teal_3_14.mp3,,,,,,,,,
24,doom_toom_3,Doom,Tomb,MP,3,_,.mp3,doom_toom_3_3.mp3,,,,,,,,,
25,dough_toe_3,Dough,Toe,MP,5,_,.mp3,dough_toe_3_5.mp3,,,,,,,,,
26,drain_train_1,Drain,Train,MP,3,_,.mp3,drain_train_1_3.mp3,,,,,,,,,
