index,set,voiced,voiceless,type,step,underscore,extension,path
1,BAA_PAA_3,B,P,categorization,21,_,.mp3,BAA_PAA_3_21.mp3
2,BAA_PAA_3,B,P,categorization,15,_,.mp3,BAA_PAA_3_15.mp3
3,BAA_PAA_3,B,P,categorization,17,_,.mp3,BAA_PAA_3_17.mp3
4,BAA_PAA_3,B,P,categorization,19,_,.mp3,BAA_PAA_3_19.mp3
5,BAA_PAA_3,B,P,categorization,23,_,.mp3,BAA_PAA_3_23.mp3
6,BAA_PAA_3,B,P,categorization,25,_,.mp3,BAA_PAA_3_25.mp3
7,BAA_PAA_3,B,P,categorization,27,_,.mp3,BAA_PAA_3_27.mp3
8,Ballerina_Pallerina_1,B,P,exposure_word,12,_,.mp3,Ballerina_Pallerina_1_12.mp3
9,Ballerina_Pallerina_1,B,P,exposure_word,6,_,.mp3,Ballerina_Pallerina_1_6.mp3
10,Ballerina_Pallerina_1,B,P,exposure_word,8,_,.mp3,Ballerina_Pallerina_1_8.mp3
11,Ballerina_Pallerina_1,B,P,exposure_word,10,_,.mp3,Ballerina_Pallerina_1_10.mp3
12,Ballerina_Pallerina_1,B,P,exposure_word,14,_,.mp3,Ballerina_Pallerina_1_14.mp3
13,Ballerina_Pallerina_1,B,P,exposure_word,16,_,.mp3,Ballerina_Pallerina_1_16.mp3
14,Ballerina_Pallerina_1,B,P,exposure_word,18,_,.mp3,Ballerina_Pallerina_1_18.mp3
15,Banana_Panana_3,B,P,exposure_word,19,_,.mp3,Banana_Panana_3_19.mp3
16,Banana_Panana_3,B,P,exposure_word,13,_,.mp3,Banana_Panana_3_13.mp3
17,Banana_Panana_3,B,P,exposure_word,15,_,.mp3,Banana_Panana_3_15.mp3
18,Banana_Panana_3,B,P,exposure_word,17,_,.mp3,Banana_Panana_3_17.mp3
19,Banana_Panana_3,B,P,exposure_word,21,_,.mp3,Banana_Panana_3_21.mp3
20,Banana_Panana_3,B,P,exposure_word,23,_,.mp3,Banana_Panana_3_23.mp3
21,Banana_Panana_3,B,P,exposure_word,25,_,.mp3,Banana_Panana_3_25.mp3
22,barl_parl_3,B,P,exposure_nonword,16,_,.mp3,barl_parl_3_16.mp3
23,barl_parl_3,B,P,exposure_nonword,10,_,.mp3,barl_parl_3_10.mp3
24,barl_parl_3,B,P,exposure_nonword,12,_,.mp3,barl_parl_3_12.mp3
25,barl_parl_3,B,P,exposure_nonword,14,_,.mp3,barl_parl_3_14.mp3
26,barl_parl_3,B,P,exposure_nonword,18,_,.mp3,barl_parl_3_18.mp3
27,barl_parl_3,B,P,exposure_nonword,20,_,.mp3,barl_parl_3_20.mp3
28,barl_parl_3,B,P,exposure_nonword,22,_,.mp3,barl_parl_3_22.mp3
29,Barn_Parn_1,B,P,exposure_word,22,_,.mp3,Barn_Parn_1_22.mp3
30,Barn_Parn_1,B,P,exposure_word,16,_,.mp3,Barn_Parn_1_16.mp3
31,Barn_Parn_1,B,P,exposure_word,18,_,.mp3,Barn_Parn_1_18.mp3
32,Barn_Parn_1,B,P,exposure_word,20,_,.mp3,Barn_Parn_1_20.mp3
33,Barn_Parn_1,B,P,exposure_word,24,_,.mp3,Barn_Parn_1_24.mp3
34,Barn_Parn_1,B,P,exposure_word,26,_,.mp3,Barn_Parn_1_26.mp3
35,Barn_Parn_1,B,P,exposure_word,28,_,.mp3,Barn_Parn_1_28.mp3
36,Bawn_Pawn_3,B,P,exposure_word,18,_,.mp3,Bawn_Pawn_3_18.mp3
37,Bawn_Pawn_3,B,P,exposure_word,20,_,.mp3,Bawn_Pawn_3_20.mp3
38,Bawn_Pawn_3,B,P,exposure_word,22,_,.mp3,Bawn_Pawn_3_22.mp3
39,Bawn_Pawn_3,B,P,exposure_word,24,_,.mp3,Bawn_Pawn_3_24.mp3
40,Bawn_Pawn_3,B,P,exposure_word,26,_,.mp3,Bawn_Pawn_3_26.mp3
41,Bawn_Pawn_3,B,P,exposure_word,28,_,.mp3,Bawn_Pawn_3_28.mp3
42,Bawn_Pawn_3,B,P,exposure_word,30,_,.mp3,Bawn_Pawn_3_30.mp3
43,bemmela_pemmela_3,B,P,exposure_nonword,21,_,.mp3,bemmela_pemmela_3_21.mp3
44,bemmela_pemmela_3,B,P,exposure_nonword,15,_,.mp3,bemmela_pemmela_3_15.mp3
45,bemmela_pemmela_3,B,P,exposure_nonword,17,_,.mp3,bemmela_pemmela_3_17.mp3
46,bemmela_pemmela_3,B,P,exposure_nonword,19,_,.mp3,bemmela_pemmela_3_19.mp3
47,bemmela_pemmela_3,B,P,exposure_nonword,23,_,.mp3,bemmela_pemmela_3_23.mp3
48,bemmela_pemmela_3,B,P,exposure_nonword,25,_,.mp3,bemmela_pemmela_3_25.mp3
49,bemmela_pemmela_3,B,P,exposure_nonword,27,_,.mp3,bemmela_pemmela_3_27.mp3
50,Benign_Penign_3,B,P,exposure_word,20,_,.mp3,Benign_Penign_3_20.mp3
51,Benign_Penign_3,B,P,exposure_word,14,_,.mp3,Benign_Penign_3_14.mp3
52,Benign_Penign_3,B,P,exposure_word,16,_,.mp3,Benign_Penign_3_16.mp3
53,Benign_Penign_3,B,P,exposure_word,18,_,.mp3,Benign_Penign_3_18.mp3
54,Benign_Penign_3,B,P,exposure_word,22,_,.mp3,Benign_Penign_3_22.mp3
55,Benign_Penign_3,B,P,exposure_word,24,_,.mp3,Benign_Penign_3_24.mp3
56,Benign_Penign_3,B,P,exposure_word,26,_,.mp3,Benign_Penign_3_26.mp3
57,Beninsula_Peninsula_3,B,P,exposure_word,20,_,.mp3,Beninsula_Peninsula_3_20.mp3
58,Beninsula_Peninsula_3,B,P,exposure_word,14,_,.mp3,Beninsula_Peninsula_3_14.mp3
59,Beninsula_Peninsula_3,B,P,exposure_word,16,_,.mp3,Beninsula_Peninsula_3_16.mp3
60,Beninsula_Peninsula_3,B,P,exposure_word,18,_,.mp3,Beninsula_Peninsula_3_18.mp3
61,Beninsula_Peninsula_3,B,P,exposure_word,22,_,.mp3,Beninsula_Peninsula_3_22.mp3
62,Beninsula_Peninsula_3,B,P,exposure_word,24,_,.mp3,Beninsula_Peninsula_3_24.mp3
63,Beninsula_Peninsula_3,B,P,exposure_word,26,_,.mp3,Beninsula_Peninsula_3_26.mp3
64,Berform_Perform_3,B,P,exposure_word,18,_,.mp3,Berform_Perform_3_18.mp3
65,Berform_Perform_3,B,P,exposure_word,20,_,.mp3,Berform_Perform_3_20.mp3
66,Berform_Perform_3,B,P,exposure_word,22,_,.mp3,Berform_Perform_3_22.mp3
67,Berform_Perform_3,B,P,exposure_word,24,_,.mp3,Berform_Perform_3_24.mp3
68,Berform_Perform_3,B,P,exposure_word,26,_,.mp3,Berform_Perform_3_26.mp3
69,Berform_Perform_3,B,P,exposure_word,28,_,.mp3,Berform_Perform_3_28.mp3
70,Berform_Perform_3,B,P,exposure_word,30,_,.mp3,Berform_Perform_3_30.mp3
71,Billion_Pillion_3,B,P,exposure_word,12,_,.mp3,Billion_Pillion_3_12.mp3
